"category","product_code","product_name","language","docx_path","updated_at","notes"
"Cellular","GT","GT Cellular Communicator","en","/Volumes/TRIKDIS/PRODUKTAI/GT/_EN/GT UM_ENG_2025 09 11.docx","2025-10-30",""
"Mobilaus ryšio","GT","GT GSM komunikatorius","lt","/Volumes/TRIKDIS/PRODUKTAI/GT/_LT/GT_UM_LT_2025 09 11.docx","2025-10-30",""
"Celular","GT","GT Comunicador","es","/Volumes/TRIKDIS/PRODUKTAI/GT/_ESP/GT UM_ESP_2025 09 11.docx","2025-10-30",""
"GSM/GPRS","GT","GSM коммуникатор GT","ru","/Volumes/TRIKDIS/PRODUKTAI/GT/_RU/GT UM_RU_2025 09 11.docx","2025-10-30",""
"Cellular","GT_PLUS","GT+ Cellular Communicator","en","/Volumes/TRIKDIS/PRODUKTAI/GT+/_EN/GT+ UM_ENG_2025 09 11.docx","2025-10-30",""
"Mobilaus ryšio","GT_PLUS","GT+ GSM komunikatorius","lt","/Volumes/TRIKDIS/PRODUKTAI/GT+/_LT/GT+_UM_LT_2025 09 11.docx","2025-10-30",""
"Celular","GT_PLUS","GT+ Comunicador","es","/Volumes/TRIKDIS/PRODUKTAI/GT+/_ESP/GT+ UM_ESP_2025 09 11.docx","2025-10-30",""
"GSM/GPRS","GT_PLUS","GSM коммуникатор GT+","ru","/Volumes/TRIKDIS/PRODUKTAI/GT+/_RU/GT+ UM_RU_2025 09 11.docx","2025-10-30",""
"Dual-path","GET","GET Cellular Communicator","en","/Volumes/TRIKDIS/PRODUKTAI/GET/_EN/GET UM_ENG_2025 09 03.docx","2025-10-30",""
"Dvigubas Kanalas","GET","GSM/Ethernet komunikatorius GET","lt","/Volumes/TRIKDIS/PRODUKTAI/GET/_LT/GET_UM_LT_2024 07 29.docx","2025-10-30",""
"Comunicación de Doble Vía","GET","celular/Ethernet GET Comunicador","es","/Volumes/TRIKDIS/PRODUKTAI/GET/_ESP/GET UM_ESP_2024 07 30.docx","2025-10-30",""
"Двойной Коммуникатор","GET","коммуникатор GET","ru","/Volumes/TRIKDIS/PRODUKTAI/GET/_RU/GET UM_RU_2024 07 29.docx","2025-10-30",""
"Dual-path","FIRECOM","Communicator FireCom","en","/Volumes/TRIKDIS/PRODUKTAI/FIRECOM/_ENG/FIRECOM_UM_ENG_2025 04 03.docx","2025-10-30",""
"Dvigubas Kanalas","FIRECOM","Priešgaisrinės centralės komunikatorius FIRECOM","lt","/Volumes/TRIKDIS/PRODUKTAI/FIRECOM/_LT/FIRECOM_UM_LT 2025 04 03.docx","2025-10-30",""
"Comunicación de Doble Vía","FIRECOM","Comunicador FireCom","es","/Volumes/TRIKDIS/PRODUKTAI/FIRECOM/_ESP/FIRECOM_UM_ESP_2025 04 03.docx","2025-10-30",""
"Двойной Коммуникатор","FIRECOM","Коммуникатор FireCom","ru","/Volumes/TRIKDIS/PRODUKTAI/FIRECOM/_RU/FIRECOM_UM_RU 2025 04 03.docx","2025-10-30",""
"Ethernet","E16","Ethernet communicator E16","en","/Volumes/TRIKDIS/PRODUKTAI/E16/_EN/E16_UM_ENG_2024 07 05.docx","2025-10-30",""
"Ethernet","E16","„Ethernet“ komunikatorius E16","lt","/Volumes/TRIKDIS/PRODUKTAI/E16/_LT/E16_UM_LT_2024 07 05.docx","2025-10-30",""
"Ethernet","E16","Comunicador Ethernet E16","es","/Volumes/TRIKDIS/PRODUKTAI/E16/_ES/E16_UM_ESP_2024 07 05.docx","2025-10-30",""
"Ethernet","E16","Ethernet коммуникатор E16","ru","/Volumes/TRIKDIS/PRODUKTAI/E16/_RU/E16_UM_RU_2024 07 05.docx","2025-10-30",""
"Ethernet","E16T","Ethernet communicator E16T","en","/Volumes/TRIKDIS/PRODUKTAI/E16T/_ENG/E16T_UM_ENG 2021 05 24.docx","2025-10-30","older manual; confirm if newer revision exists"
"Ethernet","E16T","„Ethernet“ komunikatorius E16T","lt","/Volumes/TRIKDIS/PRODUKTAI/E16T/_LT/E16T_UM_LT_2021 05 24.docx","2025-10-30","older manual; confirm if newer revision exists"
"Ethernet","E16T","Comunicador Ethernet E16T","es","/Volumes/TRIKDIS/PRODUKTAI/E16T/_ES/E16T_UM_ESP_2021 05 25.docx","2025-10-30","older manual; confirm if newer revision exists"
"Ethernet","E16T","Ethernet модуль E16T","ru","/Volumes/TRIKDIS/PRODUKTAI/E16T/_RU/E16T_UM_RU_2021 05 24.docx","2025-10-30","older manual; confirm if newer revision exists"
"Cellular","G16","Cellular communicator G16","en","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16/_ENG/G16_UM_ENG_2021 04 28.docx","2025-10-30","needs review; last update 2021-04-28"
"Mobilaus ryšio","G16","G16 GSM komunikatorius","lt","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16/_LT/G16_UM_LT_2021 04 28.docx","2025-10-30","needs review; last update 2021-04-28"
"Celular","G16","Comunicador celular G16","es","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16/_ES/G16_UM_ESP_2021 04 28.docx","2025-10-30","needs review; last update 2021-04-28"
"GSM/GPRS","G16","GSM коммуникатор G16","ru","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16/_RU/G16_UM_RU_2021 04 28.docx","2025-10-30","needs review; last update 2021-04-28"
"Cellular","G16T","Cellular communicator G16T","en","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16T/_ENG/G16T_3xxx_G16T_33xx_IMORTANT_A5_LT_EN_180711.docx","2025-10-30","translation reuse; check if consolidated manual available"
"Mobilaus ryšio","G16T","G16T","lt","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16T/_LT/G16T_3xxx_G16T_33xx_IMORTANT_A5_LT_EN_180711.docx","2025-10-30","translation reuse; check if consolidated manual available"
"Celular","G16T","Comunicador celular G16T","es","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16T/_ES/G16Tv3_CAMBIOS_26072018.docx","2025-10-30","translation reuse; check if consolidated manual available"
"GSM/GPRS","G16T","GSM коммуникатор G16T","ru","/Volumes/TRIKDIS/PRODUKTAI/G16_serija/G16T/_RU/G16T_UM_RU_170403.docx","2025-10-30","translation reuse; check if consolidated manual available"
"For Fire Panels","G17F","Cellular communicator G17F","en","/Volumes/TRIKDIS/PRODUKTAI/G17F/_ENG/G17F_UM_ENG_2025 10 07.docx","2025-10-30",""
"Priešgaisrinėms centralėms","G17F","Priešgaisrinės centralės GSM komunikatorius G17F","lt","/Volumes/TRIKDIS/PRODUKTAI/G17F/_LT/G17F_UM_LT 2025 10 07.docx","2025-10-30",""
"Celular para Incendio","G17F","Comunicador Celular G17F","es","/Volumes/TRIKDIS/PRODUKTAI/G17F/_ES/G17F_UM_ESP_2025 10 07.docx","2025-10-30",""
"Для противопожарной охранной панели","G17F","GSM коммуникатор G17F","ru","/Volumes/TRIKDIS/PRODUKTAI/G17F/_RU/G17F_UM_RU 2025 10 07.docx","2025-10-30",""
"Radio","T16","Transmitter T16","en","/Volumes/TRIKDIS/PRODUKTAI/T16/_ENG/T16 UM ENG_2023 03 29.docx","2025-10-30",""
"UHF radijo bangomis","T16","T16","lt","/Volumes/TRIKDIS/PRODUKTAI/T16/_LT/T16 UM LT 2023 03 29.docx","2025-10-30",""
"Banda de radio UHF","T16","Transmisor T16","es","/Volumes/TRIKDIS/PRODUKTAI/T16/_ESP/T16_UM_ESP_2023 03 29.docx","2025-10-30",""
"UHF модули","T16","Радиопередатчик Т16","ru","/Volumes/TRIKDIS/PRODUKTAI/T16/_RU/T16 UM RU 2023 03 29.docx","2025-10-30",""
"Cellular control panels","SP3","Security control panel “FLEXi” SP3","en","/Volumes/TRIKDIS/PRODUKTAI/SP3/_ENG/SP3_TAIM_EN_2025 09 12.docx","2025-10-30",""
"Apsaugos centrelės","SP3","Apsaugos centralė “FLEXi” SP3","lt","/Volumes/TRIKDIS/PRODUKTAI/SP3/_LT/SP3_TAIM_LT_2025 09 12+.docx","2025-10-30",""
